Sequence,Domain,Model,ModelType,Class,ClassDescription,Attribute,AttributeDescription,DataType,Context,SubContext,Nulls,IsPK,Relationship,FromClass,FromAttribute,FromCardinality,ToClass,ToAttribute,ToCardinality
588,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMISCVALUECAT,"The CDMISCVALUECAT table categorizes types of miscellaneous values. For example, demographic category, risk category, or standard industry codes. This table is used by the following domain. v Party Domain ",LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
589,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMISCVALUETP,"The CDMISCVALUETP table identifies miscellaneous value types that are captured. These attributes can be different value attribute types for a miscellaneous value type, or they can be additional information about a particular miscellaneous type such as status, effective date, created date, or indicator. This table is used by the following domain. v Party Domain ",LANG_TP_CD,"Identifies a spoken language, such as English, French, Spanish, or German. When used as part of the primary key of a code value lookup table, the Language Type Code also represents the language of the code name.",BIGINT,,,Not Null,Yes,,,,,,,
590,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMISCVALUETP,"The CDMISCVALUETP table identifies miscellaneous value types that are captured. These attributes can be different value attribute types for a miscellaneous value type, or they can be additional information about a particular miscellaneous type such as status, effective date, created date, or indicator. This table is used by the following domain. v Party Domain ",MISCVALUE_TP_CD,"This is the miscellaneous value type that corresponds to a particular miscellaneous value category. Some examples of miscvalue type are number of employees, gold value, credit card risk score, loyalty, profitability and so forth.",BIGINT,,,Not Null,Yes,,,,,,,
591,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMISCVALUETP,"The CDMISCVALUETP table identifies miscellaneous value types that are captured. These attributes can be different value attribute types for a miscellaneous value type, or they can be additional information about a particular miscellaneous type such as status, effective date, created date, or indicator. This table is used by the following domain. v Party Domain ",MISCVALUE_CAT_CD,"The category allows institutions to classify the different types of values. Some examples are Demographic Category, Risk Category, Standard Industry Codes, Party, Billing, Address and so forth.",BIGINT,,,Null,No,,,,,,,
592,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMISCVALUETP,"The CDMISCVALUETP table identifies miscellaneous value types that are captured. These attributes can be different value attribute types for a miscellaneous value type, or they can be additional information about a particular miscellaneous type such as status, effective date, created date, or indicator. This table is used by the following domain. v Party Domain ",NAME,"A short, meaningful label for the value of the type code.",VARCHAR(120),,,Null,No,,,,,,,
593,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMISCVALUETP,"The CDMISCVALUETP table identifies miscellaneous value types that are captured. These attributes can be different value attribute types for a miscellaneous value type, or they can be additional information about a particular miscellaneous type such as status, effective date, created date, or indicator. This table is used by the following domain. v Party Domain ",DESCRIPTION,Provides extra information either as an additional definition of the type code value or as free form user comments to provide further meaning to the type code.,VARCHAR(255),,,Null,No,,,,,,,
594,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMISCVALUETP,"The CDMISCVALUETP table identifies miscellaneous value types that are captured. These attributes can be different value attribute types for a miscellaneous value type, or they can be additional information about a particular miscellaneous type such as status, effective date, created date, or indicator. This table is used by the following domain. v Party Domain ",EXPIRY_DT,The date that the type code is no longer valid.,TIMESTAMP,,,Null,No,,,,,,,
595,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDMISCVALUETP,"The CDMISCVALUETP table identifies miscellaneous value types that are captured. These attributes can be different value attribute types for a miscellaneous value type, or they can be additional information about a particular miscellaneous type such as status, effective date, created date, or indicator. This table is used by the following domain. v Party Domain ",LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
596,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDNAMEUSAGETP,"The CDNAMEUSAGETP table contains the name usage type code value and its description. For example, legal name, nickname, or maiden name. This table is used by the following domain. v Party Domain ",LANG_TP_CD,"Identifies a spoken language, such as English, French, Spanish, or German. When used as part of the primary key of a code value lookup table, the Language Type Code also represents the language of the code name.",BIGINT,,,Not Null,Yes,,,,,,,
597,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDNAMEUSAGETP,"The CDNAMEUSAGETP table contains the name usage type code value and its description. For example, legal name, nickname, or maiden name. This table is used by the following domain. v Party Domain ",NAME_USAGE_TP_CD,"Identifies the type of name for this person. For example, ""Legal,"" ""Nick Name,"" ""Maiden Name,"" and so forth.",BIGINT,,,Not Null,Yes,,,,,,,
598,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDNAMEUSAGETP,"The CDNAMEUSAGETP table contains the name usage type code value and its description. For example, legal name, nickname, or maiden name. This table is used by the following domain. v Party Domain ",NAME,"A short, meaningful label for the value of the type code.",VARCHAR(120),,,Not Null,No,,,,,,,
599,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDNAMEUSAGETP,"The CDNAMEUSAGETP table contains the name usage type code value and its description. For example, legal name, nickname, or maiden name. This table is used by the following domain. v Party Domain ",DESCRIPTION,Provides extra information either as an additional definition of the type code value or as free form user comments to provide further meaning to the type code.,VARCHAR(255),,,Null,No,,,,,,,
600,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDNAMEUSAGETP,"The CDNAMEUSAGETP table contains the name usage type code value and its description. For example, legal name, nickname, or maiden name. This table is used by the following domain. v Party Domain ",EXPIRY_DT,The date that the type code is no longer valid.,TIMESTAMP,,,Null,No,,,,,,,
601,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDNAMEUSAGETP,"The CDNAMEUSAGETP table contains the name usage type code value and its description. For example, legal name, nickname, or maiden name. This table is used by the following domain. v Party Domain ",LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
602,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDNAMEUSAGETP,"The CDNAMEUSAGETP table contains the name usage type code value and its description. For example, legal name, nickname, or maiden name. This table is used by the following domain. v Party Domain ",MAX_ALLOWED_NUM,The greatest number of times a given Person Name Usage Type Code can be used.,SMALLINT,,,Null,No,,,,,,,
603,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDNODETP,The CDNODETP table captures metadata regarding how the subtype is represented within the product type hierarchy. This table is used by the following domain. v Product Domain ,LANG_TP_CD,"Identifies a spoken language, such as English, French, Spanish, or German. When used as part of the primary key of a code value lookup table, the Language Type Code also represents the language of the code name.",BIGINT,,,Not Null,Yes,,,,,,,
604,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDNODETP,The CDNODETP table captures metadata regarding how the subtype is represented within the product type hierarchy. This table is used by the following domain. v Product Domain ,NODE_TP_CD,"Identifies whether the product type is the root type, a hardened type (i.e. a sub-type defined through physical tables), or a soft type (i.e. a sub-type defined through specs).",BIGINT,,,Not Null,Yes,,,,,,,
605,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDNODETP,The CDNODETP table captures metadata regarding how the subtype is represented within the product type hierarchy. This table is used by the following domain. v Product Domain ,NAME,"A short, meaningful label for the value of the type code.",VARCHAR(120),,,Not Null,No,,,,,,,
606,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDNODETP,The CDNODETP table captures metadata regarding how the subtype is represented within the product type hierarchy. This table is used by the following domain. v Product Domain ,DESCRIPTION,Provides extra information either as an additional definition of the type code value or as free form user comments to provide further meaning to the type code.,VARCHAR(255),,,Null,No,,,,,,,
607,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDNODETP,The CDNODETP table captures metadata regarding how the subtype is represented within the product type hierarchy. This table is used by the following domain. v Product Domain ,EXPIRY_DT,The date that the type code is no longer valid.,TIMESTAMP,,,Null,No,,,,,,,
608,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDNODETP,The CDNODETP table captures metadata regarding how the subtype is represented within the product type hierarchy. This table is used by the following domain. v Product Domain ,LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
609,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CDORGNAMETP,"The CDORGNAMETP table contains the organization name type code values and their descriptions. For example, ""doing business as"", ""abbreviated name"", or ""legal name"". This table is used by the following domain. v Party Domain ",LANG_TP_CD,"Identifies a spoken language, such as English, French, Spanish, or German. When used as part of the primary key of a code value lookup table, the Language Type Code also represents the language of the code name.",BIGINT,,,Not Null,Yes,,,,,,,
